title,lessonId,jlpt,turns
Dự định đi du lịch,26,N4,"[{""speaker"":""A"",""segments"":[{""kanji"":""明日"",""reading"":""あした""},{""text"":""から、""},{""kanji"":""旅行"",""reading"":""りょこう""},{""text"":""に""},{""kanji"":""行"",""reading"":""い""},{""text"":""きます。""}],""vi"":""Từ ngày mai tôi sẽ đi du lịch.""},{""speaker"":""B"",""segments"":[{""text"":""いいですね. どこへ""},{""kanji"":""行"",""reading"":""い""},{""text"":""くんですか？""}],""vi"":""Hay quá nhỉ. Bạn định đi đâu thế?""}]"
Hỏi thăm sức khỏe,26,N4,"[{""speaker"":""A"",""segments"":[{""kanji"":""元気"",""reading"":""げんき""},{""text"":""じゃありませんね。どうしたんですか？""}],""vi"":""Trông bạn không được khỏe nhỉ. Có chuyện gì vậy?""},{""speaker"":""B"",""segments"":[{""kanji"":""頭"",""reading"":""あたま""},{""text"":""が""},{""kanji"":""痛"",""reading"":""いた""},{""text"":""いんです。""}],""vi"":""Tôi bị đau đầu.""}]"
Lý do học tiếng Nhật,26,N4,"[{""speaker"":""A"",""segments"":[{""text"":""どうして""},{""kanji"":""日本語"",""reading"":""にほんご""},{""text"":""を""},{""kanji"":""勉強"",""reading"":""べんきょう""},{""text"":""しているんですか？""}],""vi"":""Tại sao bạn lại đang học tiếng Nhật vậy?""},{""speaker"":""B"",""segments"":[{""kanji"":""日本"",""reading"":""にほん""},{""text"":""へ""},{""kanji"":""行"",""reading"":""い""},{""text"":""きたいんです。""}],""vi"":""Vì tôi muốn đi Nhật.""}]"
Nhờ vả dạy tiếng Việt,26,N4,"[{""speaker"":""A"",""segments"":[{""text"":""ベトナム""},{""kanji"":""語"",""reading"":""ご""},{""text"":""を""},{""kanji"":""勉強"",""reading"":""べんきょう""},{""text"":""したいんですが、""},{""kanji"":""教"",""reading"":""おし""},{""text"":""えていただけませんか？""}],""vi"":""Tôi muốn học tiếng Việt, bạn có thể dạy cho tôi được không?""},{""speaker"":""B"",""segments"":[{""text"":""はい、もちろんです！""}]}]"
Hỏi đường đi Hoàn Kiếm,26,N4,"[{""speaker"":""A"",""segments"":[{""text"":""ホアンキエムへ""},{""kanji"":""行"",""reading"":""い""},{""text"":""きたいんですが、どうしたらいいですか？""}],""vi"":""Tôi muốn đi đến Hồ Hoàn Kiếm, tôi nên làm thế nào ạ?""},{""speaker"":""B"",""segments"":[{""text"":""タクシーに""},{""kanji"":""乗"",""reading"":""の""},{""text"":""ったらいいですよ。""}],""vi"":""Bạn nên đi taxi thì tốt đấy.""}]"
Khi nào báo cáo xong?,27,N4,"[{""speaker"":""A"",""segments"":[{""text"":""レポートは ""},{""kanji"":""いつ"",""reading"":""いつ""},{""text"":"" ""},{""kanji"":""でき"",""reading"":""でき""},{""text"":""ますか？""}],""vi"":""Khi nào thì báo cáo xong vậy?""},{""speaker"":""B"",""segments"":[{""kanji"":""明日"",""reading"":""あした""},{""text"":"" ""},{""kanji"":""でき"",""reading"":""でき""},{""text"":""ます。""}],""vi"":""Ngày mai sẽ xong.""}]"
Đọc chữ Hán,27,N4,"[{""speaker"":""A"",""segments"":[{""text"":""これ ""},{""kanji"":""読"",""reading"":""よ""},{""text"":""めますか？""}],""vi"":""Bạn có đọc được cái này không?""},{""speaker"":""B"",""segments"":[{""text"":""はい、""},{""kanji"":""読"",""reading"":""よ""},{""text"":""めますよ。""}],""vi"":""Vâng, tôi đọc được.""}]"
Khả năng ngoại ngữ,27,N4,"[{""speaker"":""A"",""segments"":[{""kanji"":""外国語"",""reading"":""がいこくご""},{""text"":""が ""},{""kanji"":""話"",""reading"":""はな""},{""text"":""せますか？""}],""vi"":""Bạn có thể nói được ngoại ngữ không?""},{""speaker"":""B"",""segments"":[{""kanji"":""日本語"",""reading"":""にほんご""},{""text"":""は ""},{""kanji"":""話"",""reading"":""はな""},{""text"":""せますが、ベトナム""},{""kanji"":""語"",""reading"":""ご""},{""text"":""は ""},{""kanji"":""話"",""reading"":""はな""},{""text"":""せません。""}],""vi"":""Tiếng Nhật thì tôi có thể nói, nhưng tiếng Việt thì không.""}]"
Đánh giá nhà hàng,28,N4,"[{""speaker"":""A"",""segments"":[{""kanji"":""人"",""reading"":""ひと""},{""text"":""が ""},{""kanji"":""多"",""reading"":""おお""},{""text"":""いですね。""}],""vi"":""Đông người nhỉ.""},{""speaker"":""B"",""segments"":[{""text"":""そうですね！このレストランは、""},{""kanji"":""安"",""reading"":""やす""},{""text"":""いし、""},{""kanji"":""美味"",""reading"":""おい""},{""text"":""しいし...""}],""vi"":""Đúng vậy nhỉ! Nhà hàng này vừa rẻ, vừa ngon...""}]"
Lý do hẹn hò,28,N4,"[{""speaker"":""A"",""segments"":[{""text"":""どうして""},{""kanji"":""彼"",""reading"":""かれ""},{""text"":""と""},{""kanji"":""付"",""reading"":""つ""},{""text"":""き""},{""kanji"":""合"",""reading"":""あ""},{""text"":""っているんですか？""}],""vi"":""Tại sao bạn lại đang hẹn hò với anh ấy vậy?""},{""speaker"":""B"",""segments"":[{""text"":""かっこいいし、""},{""kanji"":""優"",""reading"":""やさ""},{""text"":""しいし、""},{""kanji"":""素敵"",""reading"":""すてき""},{""text"":""な""},{""kanji"":""人"",""reading"":""ひと""},{""text"":""ですから。""}],""vi"":""Vì anh ấy vừa đẹp trai, hiền lành lại là một người tuyệt vời.""}]"
Tại sao học ở NihongoCoach?,28,N4,"[{""speaker"":""A"",""segments"":[{""text"":""どうしてズンモリで""},{""kanji"":""勉強"",""reading"":""べんきょう""},{""text"":""しているんですか？""}],""vi"":""Tại sao bạn lại đang học ở NihongoCoach?""},{""speaker"":""B"",""segments"":[{""text"":""ズンモリは""},{""kanji"":""面白"",""reading"":""おもしろ""},{""text"":""いし、いい""},{""kanji"":""先生"",""reading"":""せんせい""},{""text"":""も""},{""kanji"":""多"",""reading"":""おお""},{""text"":""いし、""},{""kanji"":""有名"",""reading"":""ゆうめい""},{""text"":""ですから。""}],""vi"":""Vì ở HNihongoCoach thú vị, nhiều giáo viên giỏi và lại còn nổi tiếng nữa.""}]"
Đèn đang bật không?,29,N4,"[{""speaker"":""A"",""segments"":[{""kanji"":""電気"",""reading"":""でんき""},{""text"":""がついていますか？""}],""vi"":""Đèn đang bật phải không?""},{""speaker"":""B"",""segments"":[{""text"":""はい、""},{""kanji"":""電気"",""reading"":""でんき""},{""text"":""がついています。""}],""vi"":""Vâng, đèn đang bật.""}]"
Dùng máy tính,29,N4,"[{""speaker"":""A"",""segments"":[{""text"":""そのパソコンを""},{""kanji"":""使"",""reading"":""つか""},{""text"":""ってもいいですか？""}],""vi"":""Tôi có thể dùng máy tính đó không?""},{""speaker"":""B"",""segments"":[{""text"":""そのパソコンは""},{""kanji"":""壊"",""reading"":""こわ""},{""text"":""れています。""}],""vi"":""Máy tính đó bị hỏng rồi.""}]"
Cùng về nhé,29,N4,"[{""speaker"":""A"",""segments"":[{""kanji"":""一緒"",""reading"":""いっしょ""},{""text"":""に""},{""kanji"":""帰"",""reading"":""かえ""},{""text"":""りませんか？""}],""vi"":""Chúng ta cùng về nhé?""},{""speaker"":""B"",""segments"":[{""text"":""この""},{""kanji"":""仕事"",""reading"":""しごと""},{""text"":""を""},{""kanji"":""終"",""reading"":""お""},{""text"":""わらせてしまいますから、お""},{""kanji"":""先"",""reading"":""さき""},{""text"":""にどうぞ。""}],""vi"":""Tôi sẽ làm xong việc này trước, bạn cứ về trước đi.""}]"
Làm mất hộ chiếu,29,N4,"[{""speaker"":""A"",""segments"":[{""text"":""どうしたんですか？""}],""vi"":""Có chuyện gì vậy?""},{""speaker"":""B"",""segments"":[{""text"":""パスポートをなくしてしまいました。""}],""vi"":""Tôi làm mất hộ chiếu rồi.""}]"
Kết quả bài kiểm tra,29,N4,"[{""speaker"":""A"",""segments"":[{""text"":""テスト、どうでしたか？""}],""vi"":""Bài kiểm tra thế nào rồi?""},{""speaker"":""B"",""segments"":[{""kanji"":""受"",""reading"":""う""},{""text"":""かりました！""}],""vi"":""Tôi đỗ rồi!""}]"
Nơi cất ví,30,N4,"[{""speaker"":""A"",""segments"":[{""text"":""どこに""},{""kanji"":""財布"",""reading"":""さいふ""},{""text"":""がしまってありますか？""}],""vi"":""Cái ví được cất ở đâu vậy?""},{""speaker"":""B"",""segments"":[{""text"":""カバンに""},{""kanji"":""財布"",""reading"":""さいふ""},{""text"":""がしまってあります。""}],""vi"":""Cái ví được cất ở trong cặp.""}]"
Vật dụng trong cặp,30,N4,"[{""speaker"":""A"",""segments"":[{""text"":""カバンに""},{""kanji"":""何"",""reading"":""なに""},{""text"":""が""},{""kanji"":""入"",""reading"":""い""},{""text"":""れてありますか？""}],""vi"":""Trong cặp có để cái gì thế?""},{""speaker"":""B"",""segments"":[{""text"":""カバンに""},{""kanji"":""充電器"",""reading"":""じゅうでんき""},{""text"":""が""},{""kanji"":""入"",""reading"":""い""},{""text"":""れてあります。""}],""vi"":""Trong cặp có để bộ sạc điện.""}]"
Trang trí phòng,30,N4,"[{""speaker"":""A"",""segments"":[{""kanji"":""部屋"",""reading"":""へや""},{""text"":""に""},{""kanji"":""何"",""reading"":""なに""},{""text"":""が""},{""kanji"":""飾"",""reading"":""かざ""},{""text"":""ってありますか？""}],""vi"":""Trong phòng có trang trí cái gì vậy?""},{""speaker"":""B"",""segments"":[{""kanji"":""部屋"",""reading"":""へや""},{""text"":""の""},{""kanji"":""壁"",""reading"":""かべ""},{""text"":""にポスターが""},{""kanji"":""飾"",""reading"":""かざ""},{""text"":""ってあります。""}],""vi"":""Trên tường phòng có treo tấm áp phích.""}]"
Nơi cất hộ chiếu,30,N4,"[{""speaker"":""A"",""segments"":[{""text"":""パスポートはどこにしまってありますか？""}],""vi"":""Hộ chiếu được cất ở đâu vậy?""},{""speaker"":""B"",""segments"":[{""kanji"":""引"",""reading"":""ひ""},{""text"":""き""},{""kanji"":""出"",""reading"":""だ""},{""text"":""しの""},{""kanji"":""二段目"",""reading"":""にだんめ""},{""text"":""にしまってあります。""}],""vi"":""Được cất ở ngăn kéo thứ hai.""}]"
Về việc thanh toán,30,N4,"[{""speaker"":""A"",""segments"":[{""text"":""そろそろ""},{""kanji"":""帰"",""reading"":""かえ""},{""text"":""りましょうか？""}],""vi"":""Chúng ta chuẩn bị về thôi nhỉ?""},{""speaker"":""B"",""segments"":[{""text"":""お""},{""kanji"":""会計"",""reading"":""かいけい""},{""text"":""は？""}],""vi"":""Còn việc thanh toán thì sao?""},{""speaker"":""A"",""segments"":[{""text"":""もう""},{""kanji"":""払"",""reading"":""はら""},{""text"":""ってありますから、""},{""kanji"":""大丈夫"",""reading"":""だいじょうぶ""},{""text"":""です。""}],""vi"":""Tôi đã trả tiền rồi nên không sao đâu.""}]"
Rủ đi dạo,31,N4,"[{""speaker"":""A"",""segments"":[{""kanji"":""一緒"",""reading"":""いっしょ""},{""text"":""に""},{""kanji"":""散歩"",""reading"":""さんぽ""},{""text"":""しない？""}],""vi"":""Cùng đi dạo không?""},{""speaker"":""B"",""segments"":[{""text"":""いいね、""},{""kanji"":""行"",""reading"":""い""},{""text"":""こう！""}],""vi"":""Hay đấy, đi thôi!""}]"
Đề nghị nghỉ ngơi,31,N4,"[{""speaker"":""A"",""segments"":[{""text"":""あー""},{""kanji"":""疲"",""reading"":""つか""},{""text"":""れた。""}],""vi"":""A, mệt quá.""},{""speaker"":""B"",""segments"":[{""text"":""そうだね、ちょっと""},{""kanji"":""休"",""reading"":""やす""},{""text"":""もう. ""}],""vi"":""Đúng thế, nghỉ một chút nào.""}]"
Đề nghị ăn cơm,31,N4,"[{""speaker"":""A"",""segments"":[{""text"":""お""},{""kanji"":""腹"",""reading"":""なか""},{""text"":""すいたー！""}],""vi"":""Đói bụng quá!""},{""speaker"":""B"",""segments"":[{""text"":""じゃあ、ご""},{""kanji"":""飯"",""reading"":""はん""},{""text"":""を""},{""kanji"":""食"",""reading"":""た""},{""text"":""べよう！""}],""vi"":""Vậy thì cùng ăn cơm nào!""}]"
Dự định ngày Tết,31,N4,"[{""speaker"":""A"",""segments"":[{""text"":""お""},{""kanji"":""正月"",""reading"":""しょうがつ""},{""kanji"":""何"",""reading"":""なに""},{""text"":""をしますか？""}],""vi"":""Tết này bạn làm gì?""},{""speaker"":""B"",""segments"":[{""kanji"":""日本"",""reading"":""にほん""},{""text"":""へ""},{""kanji"":""帰"",""reading"":""かえ""},{""text"":""ろうと""},{""kanji"":""思"",""reading"":""おも""},{""text"":""っています。""}],""vi"":""Tôi đang định trở về Nhật.""}]"
Dự đoán kết quả thi,32,N4,"[{""speaker"":""A"",""segments"":[{""kanji"":""彼"",""reading"":""かれ""},{""text"":""は""},{""kanji"":""試験"",""reading"":""しけん""},{""text"":""に""},{""kanji"":""合格"",""reading"":""ごうかく""},{""text"":""すると""},{""kanji"":""思"",""reading"":""おも""},{""text"":""いますか？""}],""vi"":""Bạn có nghĩ anh ấy sẽ đỗ kỳ thi không?""},{""speaker"":""B"",""segments"":[{""kanji"":""彼"",""reading"":""かれ""},{""text"":""なら""},{""kanji"":""合格"",""reading"":""ごうかく""},{""text"":""するでしょう。""}],""vi"":""Nếu là anh ấy thì chắc là đỗ đấy.""}]"
Sức khỏe không tốt,32,N4,"[{""speaker"":""A"",""segments"":[{""kanji"":""朝"",""reading"":""あさ""},{""text"":""から""},{""kanji"":""体調"",""reading"":""たいちょう""},{""text"":""が""},{""kanji"":""悪"",""reading"":""わる""},{""text"":""いんです。""}],""vi"":""Từ sáng đến giờ sức khỏe tôi không được tốt.""},{""speaker"":""B"",""segments"":[{""kanji"":""大丈夫"",""reading"":""だいじょうぶ""},{""text"":""ですか？""},{""kanji"":""風邪"",""reading"":""かぜ""},{""text"":""かもしれませんね。""}],""vi"":""Bạn không sao chứ? Có lẽ là bị cảm rồi đấy.""}]"
Tình hình giao thông,32,N4,"[{""speaker"":""A"",""segments"":[{""kanji"":""渋滞"",""reading"":""じゅうたい""},{""text"":""ですね。""}],""vi"":""Tắc đường quá nhỉ.""},{""speaker"":""B"",""segments"":[{""text"":""はい......""},{""kanji"":""遅刻"",""reading"":""ちこく""},{""text"":""するかもしれませんね。""}],""vi"":""Vâng... Có lẽ là sẽ bị muộn mất.""}]"
Đánh thức,33,N4,"[{""speaker"":""A"",""segments"":[{""text"":""zzz…""}],""vi"":""(Tiếng ngáy ngủ)""},{""speaker"":""B"",""segments"":[{""text"":""おい！""},{""kanji"":""早"",""reading"":""はや""},{""text"":""く""},{""kanji"":""起"",""reading"":""お""},{""text"":""きろ！""}],""vi"":""Này! Dậy mau!""}]"
Yêu cầu học bài,33,N4,"[{""speaker"":""A"",""segments"":[{""kanji"":""携"",""reading"":""けい""},{""kanji"":""帯"",""reading"":""たい""},{""text"":""を""},{""kanji"":""触"",""reading"":""さわ""},{""text"":""る""}],""vi"":""(Đang nghịch điện thoại)""},{""speaker"":""B"",""segments"":[{""text"":""こら！""},{""kanji"":""早"",""reading"":""はや""},{""text"":""く""},{""kanji"":""勉"",""reading"":""べん""},{""kanji"":""強"",""reading"":""きょう""},{""text"":""しろ！""}],""vi"":""Này! Học bài mau!""}]"
Yêu cầu giữ im lặng,33,N4,"[{""speaker"":""A"",""segments"":[{""text"":""うるさくする""}],""vi"":""(Đang làm ồn)""},{""speaker"":""B"",""segments"":[{""text"":""しっ！""},{""kanji"":""静"",""reading"":""しず""},{""text"":""かにしろよ！""}],""vi"":""Suỵt! Im lặng đi!""}]"
Cấm hút thuốc,33,N4,"[{""speaker"":""A"",""segments"":[{""text"":""タバコを""},{""kanji"":""吸"",""reading"":""す""},{""text"":""う""}],""vi"":""(Đang hút thuốc)""},{""speaker"":""B"",""segments"":[{""text"":""こら！タバコを""},{""kanji"":""吸"",""reading"":""す""},{""text"":""うな。""}],""vi"":""Này! Cấm hút thuốc!""}]"
Nhờ nhắn lại,33,N4,"[{""speaker"":""A"",""segments"":[{""text"":""ワンさんに「あとで""},{""kanji"":""電"",""reading"":""でん""},{""kanji"":""話"",""reading"":""わ""},{""text"":""をください」と""},{""kanji"":""伝"",""reading"":""つた""},{""text"":""えていただけませんか。""}],""vi"":""Bạn có thể nhắn với anh Wang là 'hãy gọi điện cho tôi sau' được không?""},{""speaker"":""B"",""segments"":[{""text"":""はい、わかりました。""}],""vi"":""Vâng, tôi hiểu rồi.""}]"
Chỉ dẫn viết bài,34,N4,"[{""speaker"":""A"",""segments"":[{""kanji"":""私"",""reading"":""わたし""},{""text"":""が""},{""kanji"":""今"",""reading"":""いま""},{""text"":""から""},{""kanji"":""言"",""reading"":""い""},{""text"":""うとおりに、ノートに""},{""kanji"":""書"",""reading"":""か""},{""text"":""いてください。""}],""vi"":""Hãy viết vào vở đúng như những gì tôi nói sau đây.""},{""speaker"":""B"",""segments"":[{""text"":""はい、わかりました。""}],""vi"":""Vâng, tôi hiểu rồi.""}]"
Rủ đi Karaoke,34,N4,"[{""speaker"":""A"",""segments"":[{""kanji"":""仕"",""reading"":""し""},{""kanji"":""事"",""reading"":""ごと""},{""text"":""のあとで、カラオケに""},{""kanji"":""行"",""reading"":""い""},{""text"":""きませんか。""}],""vi"":""Sau khi xong việc, đi hát Karaoke không?""},{""speaker"":""B"",""segments"":[{""text"":""いいですね。""},{""kanji"":""行"",""reading"":""い""},{""text"":""きましょう。""}],""vi"":""Hay quá nhỉ. Chúng ta cùng đi nào.""}]"
Cách ăn (không gia vị),34,N4,"[{""speaker"":""A"",""segments"":[{""text"":""しょうゆをつけないで""},{""kanji"":""食"",""reading"":""た""},{""text"":""べますか？""}],""vi"":""Bạn ăn mà không chấm xì dầu à?""},{""speaker"":""B"",""segments"":[{""text"":""はい、しょうゆをつけないで""},{""kanji"":""食"",""reading"":""た""},{""text"":""べます。""}],""vi"":""Vâng, tôi ăn mà không chấm xì dầu.""}]"
Cách mở cửa,35,N4,"[{""speaker"":""A"",""segments"":[{""text"":""このボタンを""},{""kanji"":""押"",""reading"":""お""},{""text"":""せば、ドアが""},{""kanji"":""開"",""reading"":""あ""},{""text"":""きますよ。""}],""vi"":""Nếu ấn nút này thì cửa sẽ mở đấy.""}]"
Tư vấn địa điểm đi biển,35,N4,"[{""speaker"":""A"",""segments"":[{""kanji"":""海"",""reading"":""うみ""},{""text"":""に""},{""kanji"":""行"",""reading"":""い""},{""text"":""きたいんですが, どこかいいところがありますか。""}],""vi"":""Tôi muốn đi biển, có chỗ nào hay không?""},{""speaker"":""B"",""segments"":[{""kanji"":""海"",""reading"":""うみ""},{""text"":""なら、NhaTrangがいいですよ。""}],""vi"":""Nếu là biển thì Nha Trang được đấy.""}]"
Lời mời hẹn hò,35,N4,"[{""speaker"":""A"",""segments"":[{""kanji"":""今晩"",""reading"":""こんばん""},{""kanji"":""暇"",""reading"":""ひま""},{""text"":""なら、デートしませんか？""}],""vi"":""Tối nay nếu rảnh thì hẹn hò không?""},{""speaker"":""B"",""segments"":[{""text"":""いいですね, ""},{""kanji"":""晴"",""reading"":""は""},{""text"":""れなら""},{""kanji"":""公園"",""reading"":""こうえん""},{""text"":""へ""},{""kanji"":""行"",""reading"":""い""},{""text"":""きましょう。""}],""vi"":""Được đấy, nếu trời nắng thì cùng đi công viên nhé.""}]"
